method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,block_pair_shape,repeat
dense,dense_mask,512,16,2,32,20,100,5.185217931866646,315975.147337768,1.4093298017978668,3.2468996047973633,3.4453125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,0
local,blockpair,512,16,2,32,20,100,3.922172077000141,417727.7202108695,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]","[0, 7]",0
random,blockpair,512,16,2,32,20,100,5.003004211932421,327483.2341920345,1.4038429355621338,1.9792604446411133,2.109375,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",0
zigzag,blockpair,512,16,2,32,20,100,4.910441929474473,333656.3233067997,0.013544048198964447,1.9792604446411133,2.109375,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",0
dense,dense_mask,512,16,2,32,20,100,5.208999637514353,314532.561722699,1.4093298017978668,3.2468996047973633,3.45703125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,1
local,blockpair,512,16,2,32,20,100,3.908615244552493,419176.58748413966,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]","[0, 7]",1
random,blockpair,512,16,2,32,20,100,4.881565496325493,335630.0353305256,1.4038429355621338,1.9792604446411133,2.109375,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",1
zigzag,blockpair,512,16,2,32,20,100,4.942933291196823,331463.1016602891,0.013544041928835213,1.9792604446411133,2.109375,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",1
dense,dense_mask,512,16,2,32,20,100,5.227510936558247,313418.76083739195,1.4093298017978668,3.2468996047973633,3.45703125,"{'raw_k': 512, 'effective_k_mean': 512.0, 'effective_k_min': 512, 'effective_k_max': 512, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 262144, 'self_loop_rate': 1.0}",,,2
local,blockpair,512,16,2,32,20,100,3.951391015201807,414638.792692685,1.4037693297863008,0.9441022872924805,1.033203125,"{'raw_k': 16, 'effective_k_mean': 16.0, 'effective_k_min': 16, 'effective_k_max': 16, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 8192, 'self_loop_rate': 1.0}","[512, 0]","[0, 7]",2
random,blockpair,512,16,2,32,20,100,4.905044155195355,334023.4966620289,1.4038429534435273,1.9792604446411133,2.109375,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",2
zigzag,blockpair,512,16,2,32,20,100,4.88228128477931,335580.82880389784,0.013544036489911378,1.9792604446411133,2.109375,"{'raw_k': 20, 'effective_k_mean': 20.0, 'effective_k_min': 20, 'effective_k_max': 20, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 10240, 'self_loop_rate': 1.0}","[512, 4]","[2048, 7]",2
